"","sqrt_LMA_gDW_m2.10.comps"
"Wave_1155",-0.525520374736791
"Wave_1156",-0.55341703611405
"Wave_1157",-0.575650056427299
"Wave_1158",-0.598237321361778
"Wave_1159",-0.621643477363111
"Wave_1160",-0.640360376219239
"Wave_1161",-0.654284900422904
"Wave_1162",-0.669543986235259
"Wave_1163",-0.684030547466826
"Wave_1164",-0.693626226718893
"Wave_1165",-0.699093660433149
"Wave_1166",-0.707247268158921
"Wave_1167",-0.71439740570444
"Wave_1168",-0.723227356115443
"Wave_1169",-0.729687021370431
"Wave_1170",-0.739350205925874
"Wave_1171",-0.745878293151816
"Wave_1172",-0.754673542541508
"Wave_1173",-0.763453486303999
"Wave_1174",-0.773476260320467
"Wave_1175",-0.783979773765256
"Wave_1176",-0.789393269357793
"Wave_1177",-0.802361468804419
"Wave_1178",-0.814830871032185
"Wave_1179",-0.832293718589186
"Wave_1180",-0.84798476522608
"Wave_1181",-0.861106324758378
"Wave_1182",-0.87381759933887
"Wave_1183",-0.887133071343406
"Wave_1184",-0.900254917739404
"Wave_1185",-0.916002855706433
"Wave_1186",-0.928540963017175
"Wave_1187",-0.9385533559954
"Wave_1188",-0.947372883624041
"Wave_1189",-0.959759945473735
"Wave_1190",-0.971499451891315
"Wave_1191",-0.983596469122623
"Wave_1192",-0.993851211898617
"Wave_1193",-1.00602590898337
"Wave_1194",-1.01479586307897
"Wave_1195",-1.02044609251154
"Wave_1196",-1.02659965290376
"Wave_1197",-1.03445918521292
"Wave_1198",-1.03783247476827
"Wave_1199",-1.03824106172097
"Wave_1200",-1.04183040813212
"Wave_1201",-1.04490086897475
"Wave_1202",-1.04168850930817
"Wave_1203",-1.03695195376708
"Wave_1204",-1.03282651087299
"Wave_1205",-1.02469707711217
"Wave_1206",-1.0152834333138
"Wave_1207",-1.00555854270106
"Wave_1208",-0.991262301517181
"Wave_1209",-0.969569139569125
"Wave_1210",-0.94622758513157
"Wave_1211",-0.919920524115763
"Wave_1212",-0.889533285141952
"Wave_1213",-0.855703417894793
"Wave_1214",-0.819656668892122
"Wave_1215",-0.779603620583228
"Wave_1216",-0.737994256629144
"Wave_1217",-0.6985819470697
"Wave_1218",-0.655365237666395
"Wave_1219",-0.604684028742218
"Wave_1220",-0.552689263554793
"Wave_1221",-0.498957784653546
"Wave_1222",-0.445397548196981
"Wave_1223",-0.39147152606062
"Wave_1224",-0.338318206720022
"Wave_1225",-0.286534959760341
"Wave_1226",-0.233798664800665
"Wave_1227",-0.181408588689832
"Wave_1228",-0.13310499337083
"Wave_1229",-0.0853218732279677
"Wave_1230",-0.0346978297549174
"Wave_1231",0.0124158096205601
"Wave_1232",0.056933593713802
"Wave_1233",0.0999125927919897
"Wave_1234",0.140901826224984
"Wave_1235",0.179813000697145
"Wave_1236",0.218169960641655
"Wave_1237",0.254208484237914
"Wave_1238",0.287401605502579
"Wave_1239",0.318849890256833
"Wave_1240",0.348771316703626
"Wave_1241",0.379060634376061
"Wave_1242",0.409550095779056
"Wave_1243",0.439235091589859
"Wave_1244",0.468288791285244
"Wave_1245",0.494585109821677
"Wave_1246",0.522426430146885
"Wave_1247",0.55124031001135
"Wave_1248",0.579605568636077
"Wave_1249",0.608251031305578
"Wave_1250",0.6331982207943
"Wave_1251",0.654889251210009
"Wave_1252",0.678208177986357
"Wave_1253",0.702310151114524
"Wave_1254",0.722959743276562
"Wave_1255",0.743661060819025
"Wave_1256",0.767345070797458
"Wave_1257",0.789578331144724
"Wave_1258",0.809129586413823
"Wave_1259",0.826716364882157
"Wave_1260",0.846005019073545
"Wave_1261",0.865374705316731
"Wave_1262",0.881535706170088
"Wave_1263",0.895972264285217
"Wave_1264",0.915055119984808
"Wave_1265",0.931474048298414
"Wave_1266",0.945451754260584
"Wave_1267",0.959935928375083
"Wave_1268",0.975891919838711
"Wave_1269",0.989187992835083
"Wave_1270",0.996745902326903
"Wave_1271",1.00844439586538
"Wave_1272",1.0222690970854
"Wave_1273",1.03281171542395
"Wave_1274",1.04200815394388
"Wave_1275",1.05331189313697
"Wave_1276",1.07084356211955
"Wave_1277",1.07941742343912
"Wave_1278",1.08668954600884
"Wave_1279",1.09678352810252
"Wave_1280",1.10362867358638
"Wave_1281",1.10755172911661
"Wave_1282",1.11559688507708
"Wave_1283",1.12570319557462
"Wave_1284",1.13371850668677
"Wave_1285",1.14213226846441
"Wave_1286",1.15081916358129
"Wave_1287",1.16452665982245
"Wave_1288",1.17337268622967
"Wave_1289",1.18085376882239
"Wave_1290",1.18454389338065
"Wave_1291",1.19009445541195
"Wave_1292",1.19397072690387
"Wave_1293",1.19221487120198
"Wave_1294",1.2016817450555
"Wave_1295",1.2016490781371
"Wave_1296",1.20453054156423
"Wave_1297",1.20455097290396
"Wave_1298",1.21154857610172
"Wave_1299",1.21845606632217
"Wave_1300",1.22103522824973
"Wave_1301",1.22550628791473
"Wave_1302",1.22897080782723
"Wave_1303",1.22817389377632
"Wave_1304",1.22383864393004
"Wave_1305",1.21705676172667
"Wave_1306",1.21220688445531
"Wave_1307",1.20416340233742
"Wave_1308",1.19404198900951
"Wave_1309",1.19010043042791
"Wave_1310",1.18094921710783
"Wave_1311",1.1670132558408
"Wave_1312",1.14785206177495
"Wave_1313",1.13255362866968
"Wave_1314",1.11901134688153
"Wave_1315",1.10171214405924
"Wave_1316",1.08883862303946
"Wave_1317",1.07748943197242
"Wave_1318",1.06409567974634
"Wave_1319",1.04418543218119
"Wave_1320",1.0251251600778
"Wave_1321",1.00190450018965
"Wave_1322",0.97676227644615
"Wave_1323",0.949927910579432
"Wave_1324",0.932206336013488
"Wave_1325",0.908413101466213
"Wave_1326",0.888313414939073
"Wave_1327",0.861312136593422
"Wave_1328",0.833523974766603
"Wave_1329",0.803317248868252
"Wave_1330",0.774369597854229
"Wave_1331",0.74200143266062
"Wave_1332",0.710842643368369
"Wave_1333",0.673247231050416
"Wave_1334",0.641125469439535
"Wave_1335",0.609081347514488
"Wave_1336",0.576701542230259
"Wave_1337",0.546008119992649
"Wave_1338",0.51764766563143
"Wave_1339",0.480575208973678
"Wave_1340",0.446922196311805
"Wave_1341",0.411818743559503
"Wave_1342",0.375812538079394
"Wave_1343",0.333463378358464
"Wave_1344",0.294248631641087
"Wave_1345",0.256998624381003
"Wave_1346",0.218988501164471
"Wave_1347",0.183037354863256
"Wave_1348",0.148675341996472
"Wave_1349",0.118149822045186
"Wave_1350",0.0833772385184272
"Wave_1351",0.0476738866940445
"Wave_1352",0.017193535969396
"Wave_1353",-0.0129339517435369
"Wave_1354",-0.0461012411514652
"Wave_1355",-0.0795550587829256
"Wave_1356",-0.112683867549523
